ticker,sector,split,days,base_trades,base_win_rate,base_pf,base_pnl,base_max_dd,vol_trades,vol_win_rate,vol_pf,vol_pnl,vol_max_dd,delta_wr,delta_pf,delta_pnl
TGT,Consumer Defensive,is,36,21,52.4,1.43,3.99,-1.89,16,75.0,6.51,11.82,-1.02,22.6,5.09,7.83
TGT,Consumer Defensive,oos,24,10,60.0,2.15,3.89,-1.46,10,60.0,3.05,4.61,-0.95,0.0,0.9,0.72
IBM,Technology,full,60,23,60.9,1.44,4.22,-2.79,20,85.0,5.77,13.85,-1.19,24.1,4.33,9.63
IBM,Technology,is,36,15,60.0,1.6,3.57,-1.93,13,84.6,6.09,10.07,-1.19,24.6,4.49,6.51
IBM,Technology,oos,24,9,55.6,0.89,-0.55,-2.79,7,85.7,5.08,3.78,-0.93,30.2,4.19,4.33
RTX,Industrials,full,60,33,51.5,1.13,1.9,-5.64,30,66.7,2.53,10.09,-2.44,15.2,1.4,8.18
RTX,Industrials,is,36,20,40.0,0.5,-5.98,-5.64,18,55.6,0.94,-0.35,-2.44,15.6,0.44,5.63
RTX,Industrials,oos,24,13,69.2,4.06,7.88,-1.02,12,83.3,17.34,10.44,-0.5,14.1,13.29,2.56
FTNT,Technology,full,60,29,51.7,1.04,0.65,-5.02,26,73.1,2.83,13.77,-1.75,21.4,1.8,13.12
FTNT,Technology,is,36,20,50.0,1.21,2.51,-3.57,18,77.8,3.26,13.02,-1.71,27.8,2.05,10.51
FTNT,Technology,oos,24,9,55.6,0.67,-1.86,-5.02,8,62.5,1.43,0.75,-1.75,6.9,0.76,2.61
SO,Utilities,full,60,45,53.3,1.37,4.11,-3.12,44,63.6,2.18,8.95,-2.26,10.3,0.82,4.84
SO,Utilities,is,36,29,48.3,1.32,2.63,-2.52,29,55.2,1.68,4.56,-2.26,6.9,0.37,1.93
SO,Utilities,oos,24,16,62.5,1.5,1.48,-2.4,15,80.0,5.79,4.39,-0.86,17.5,4.29,2.91
CF,Basic Materials,full,60,19,47.4,1.21,2.07,-7.39,18,50.0,1.4,2.8,-4.3,2.6,0.19,0.72
CF,Basic Materials,is,36,15,46.7,0.95,-0.36,-4.91,15,46.7,1.17,1.02,-3.95,0.0,0.21,1.38
CF,Basic Materials,oos,24,5,60.0,2.11,2.76,-2.48,4,75.0,3.45,2.1,-0.86,15.0,1.34,-0.66
ORLY,Consumer Cyclical,full,60,40,57.5,1.54,6.73,-5.37,34,70.6,2.82,12.58,-4.66,13.1,1.27,5.86
ORLY,Consumer Cyclical,is,36,24,66.7,2.03,6.69,-1.79,19,84.2,4.98,10.55,-1.35,17.5,2.96,3.87
ORLY,Consumer Cyclical,oos,24,16,43.8,1.01,0.04,-4.29,15,53.3,1.47,2.03,-3.58,9.6,0.47,1.99
WDAY,Technology,full,60,22,40.9,1.32,4.01,-5.19,18,55.6,2.52,10.16,-4.56,14.6,1.2,6.15
WDAY,Technology,is,36,12,41.7,1.83,4.29,-3.43,10,60.0,4.49,7.45,-1.17,18.3,2.66,3.16
WDAY,Technology,oos,24,11,36.4,0.92,-0.67,-5.19,9,44.4,1.47,2.32,-4.56,8.1,0.55,2.98
SNOW,Technology,full,60,19,63.2,1.9,8.33,-5.94,16,75.0,3.88,12.55,-2.29,11.8,1.98,4.22
SNOW,Technology,is,36,11,63.6,3.78,9.12,-1.62,9,77.8,6.23,10.41,-1.62,14.1,2.45,1.29
SNOW,Technology,oos,24,9,55.6,0.52,-4.8,-5.94,7,71.4,1.9,2.14,-2.29,15.9,1.38,6.94
FIS,Technology,full,60,26,50.0,1.22,2.7,-8.36,25,52.0,1.71,6.27,-7.12,2.0,0.49,3.57
FIS,Technology,is,36,17,64.7,2.92,9.12,-2.58,16,68.8,11.77,12.69,-0.7,4.0,8.85,3.57
FIS,Technology,oos,24,10,30.0,0.38,-4.71,-6.42,10,30.0,0.38,-4.71,-6.42,0.0,0.0,0.0
DOCU,Technology,full,60,27,44.4,0.78,-6.47,-13.79,24,58.3,1.54,9.27,-6.05,13.9,0.76,15.74
DOCU,Technology,is,36,19,47.4,1.18,2.9,-6.18,16,62.5,2.1,11.87,-5.08,15.1,0.92,8.96
DOCU,Technology,oos,24,9,44.4,0.38,-7.79,-9.67,9,55.6,0.84,-1.01,-6.05,11.1,0.46,6.78
COF,Financial Services,full,60,24,54.2,1.72,5.21,-4.43,23,65.2,2.92,8.43,-2.78,11.1,1.2,3.22
COF,Financial Services,is,36,19,52.6,1.95,4.74,-4.43,18,61.1,2.88,6.28,-2.78,8.5,0.93,1.54
COF,Financial Services,oos,24,6,50.0,0.93,-0.21,-2.27,5,80.0,3.04,2.16,-1.06,30.0,2.11,2.36
OKE,Energy,full,60,29,44.8,0.89,-1.55,-9.0,26,57.7,1.67,5.4,-3.52,12.9,0.79,6.94
OKE,Energy,is,36,18,55.6,1.14,1.14,-6.32,17,70.6,2.93,6.82,-1.26,15.0,1.79,5.68
OKE,Energy,oos,24,11,27.3,0.53,-2.68,-4.78,9,33.3,0.68,-1.42,-3.52,6.1,0.15,1.26
GE,Industrials,full,60,28,50.0,1.6,6.31,-3.86,25,60.0,2.55,10.95,-2.7,10.0,0.95,4.64
GE,Industrials,is,36,20,45.0,1.57,3.99,-3.86,17,52.9,2.74,7.6,-2.08,7.9,1.18,3.61
GE,Industrials,oos,24,8,62.5,1.67,2.33,-0.94,8,75.0,2.24,3.35,-0.94,12.5,0.57,1.03
DASH,Consumer Cyclical,full,60,16,50.0,1.05,0.45,-6.65,15,53.3,1.45,3.01,-4.38,3.3,0.41,2.56
DASH,Consumer Cyclical,is,36,14,50.0,1.29,2.11,-6.65,13,53.8,2.01,4.68,-4.38,3.8,0.71,2.56
DASH,Consumer Cyclical,oos,24,3,66.7,1.11,0.21,-1.99,3,66.7,1.11,0.21,-1.99,0.0,0.0,0.0
DDOG,Technology,full,60,18,61.1,1.52,6.44,-4.74,14,78.6,4.01,14.35,-2.93,17.5,2.5,7.92
DDOG,Technology,is,36,11,54.5,1.6,4.63,-4.34,7,71.4,3.99,8.77,-2.93,16.9,2.4,4.14
DDOG,Technology,oos,24,8,75.0,1.41,1.94,-4.74,8,87.5,4.12,5.72,-1.83,12.5,2.71,3.78
